所在階
"[1, 12]"
"[5, 10]"
"[12, 15]"
"[3, 4]"
"[1, 2]"
"[6, 12]"
"[6, 8]"
"[1, 6]"
"[4, 9]"
"[2, 3]"
"[1, 6]"
"[1, 2]"
"[6, 10]"
"[3, 3]"
"[4, 11]"
"[4, 5]"
"[2, 5]"
"[1, 2]"
"[5, 11]"
"[8, 12]"
""
"[7, 10]"
"[10, 42]"
"[4, 5]"
"[2, 4]"
"[1, 2]"
"[12, 12]"
"[2, 2]"
"[10, 10]"
"[1, 10]"
"[4, 11]"
"[1, 2]"
"[3, 3]"
"[3, 7]"
"[4, 10]"
"[1, 2]"
"[2, 3]"
"[8, 15]"
"[4, 11]"
""
"[2, 7]"
"[3, 5]"
"[3, 4]"
"[1, 3]"
"[4, 4]"
"[7, 9]"
"[2, 5]"
"[11, 13]"
"[1, 2]"
"[4, 8]"
"[2, 2]"
"[1, 3]"
"[7, 10]"
"[2, 3]"
"[6, 6]"
"[1, 4]"
"[11, 14]"
"[13, 15]"
"[9, 12]"
"[3, 6]"
"[3, 3]"
"[4, 5]"
"[4, 11]"
"[3, 3]"
"[-4, 5]"
"[10, 11]"
"[3, 4]"
"[3, 4]"
"[5, 10]"
"[2, 2]"
"[2, 3]"
"[1, 2]"
"[2, 5]"
"[1, 3]"
"[2, 2]"
"[2, 4]"
"[2, 3]"
"[3, 4]"
"[1, 4]"
"[4, 5]"
"[2, 3]"
"[3, 4]"
"[1, 2]"
""
"[4, 8]"
"[9, 12]"
"[2, 5]"
"[1, 3]"
"[2, 3]"
"[7, 11]"
"[3, 4]"
"[3, 3]"
"[2, 6]"
"[2, 2]"
"[2, 3]"
"[1, 2]"
"[5, 8]"
"[10, 11]"
"[6, 15]"
""
"[2, 2]"
"[5, 7]"
"[1, 4]"
"[8, 11]"
"[2, 3]"
"[1, 2]"
"[2, 5]"
"[4, 14]"
"[2, 4]"
"[2, 2]"
"[2, 2]"
"[1, 2]"
"[1, 3]"
"[3, 5]"
"[3, 5]"
"[2, 2]"
"[4, 4]"
"[2, 2]"
"[5, 9]"
"[3, 4]"
"[8, 19]"
"[5, 10]"
""
"[4, 4]"
"[12, 19]"
"[1, 3]"
"[5, 15]"
"[3, 3]"
"[3, 4]"
"[2, 5]"
"[4, 4]"
"[3, 15]"
"[4, 4]"
"[3, 9]"
"[1, 5]"
"[3, 5]"
"[2, 5]"
"[3, 3]"
"[2, 2]"
"[5, 7]"
"[7, 13]"
"[4, 10]"
"[3, 4]"
"[9, 22]"
"[9, 18]"
"[2, 2]"
"[2, 8]"
"[12, 14]"
"[1, 3]"
"[12, 12]"
"[12, 13]"
"[3, 3]"
"[2, 4]"
"[2, 7]"
"[1, 8]"
"[3, 5]"
"[3, 7]"
"[2, 14]"
"[1, 3]"
"[1, 4]"
"[7, 13]"
"[6, 12]"
"[3, 6]"
"[2, 3]"
"[5, 12]"
"[1, 4]"
"[1, 5]"
""
"[1, 4]"
"[2, 3]"
""
"[3, 13]"
"[2, 2]"
"[2, 2]"
"[9, 10]"
"[1, 3]"
"[2, 2]"
"[4, 6]"
"[2, 4]"
"[3, 6]"
"[4, 13]"
"[2, 3]"
"[2, 3]"
"[5, 7]"
"[1, 4]"
"[2, 2]"
"[9, 13]"
"[2, 3]"
"[4, 4]"
"[3, 15]"
"[3, 3]"
"[4, 6]"
"[2, 4]"
"[2, 5]"
"[12, 13]"
"[2, 2]"
"[3, 3]"
"[2, 2]"
"[2, 3]"
"[2, 2]"
"[2, 3]"
"[3, 4]"
"[2, 5]"
"[3, 3]"
"[2, 12]"
"[2, 2]"
"[5, 7]"
"[1, 3]"
"[3, 3]"
"[2, 3]"
"[2, 3]"
"[10, 11]"
"[2, 3]"
"[2, 2]"
"[3, 7]"
"[2, 11]"
"[3, 14]"
"[3, 3]"
"[2, 2]"
"[1, 2]"
"[1, 3]"
"[7, 11]"
"[9, 13]"
"[3, 9]"
"[6, 15]"
"[2, 2]"
"[1, 2]"
"[6, 14]"
"[4, 12]"
"[3, 8]"
"[5, 5]"
"[1, 3]"
"[3, 3]"
"[14, 15]"
"[1, 4]"
"[5, 8]"
"[2, 3]"
"[6, 14]"
"[2, 2]"
"[3, 3]"
"[3, 4]"
"[1, 2]"
"[10, 32]"
"[2, 2]"
"[5, 6]"
"[3, 3]"
"[1, 6]"
"[1, 3]"
"[3, 8]"
"[1, 3]"
"[2, 2]"
"[5, 15]"
"[5, 16]"
"[11, 12]"
"[2, 5]"
"[5, 5]"
"[2, 2]"
"[6, 9]"
"[30, 58]"
"[3, 7]"
"[2, 2]"
"[3, 5]"
"[2, 4]"
"[2, 5]"
