id,予測値
31471,113287.36713347377
31472,83388.93550915191
31473,62207.84079756387
31474,108888.95902495354
31475,67274.7684975191
31476,89857.13821827975
31477,92087.40669916332
31478,81746.14937300998
31479,143641.18559482362
31480,135912.89239910495
31481,53954.346884366554
31482,125903.03829410116
31483,53869.37887107236
31484,100548.52808082248
31485,54015.279859728675
31486,115830.95629663892
31487,491128.3069981861
31488,115658.79921148902
31489,32041.602445741555
31490,133219.26911858656
31491,124158.14460690215
31492,102412.5079042151
31493,124331.52786173753
31494,139459.00629490794
31495,253125.42723626597
31496,207865.2069765849
31497,81482.2108584825
31498,68635.45671752992
31499,126071.10349924595
31500,187819.6980704873
31501,89111.20713684038
31502,55795.522670661914
31503,108724.27316151315
31504,125474.66529698035
31505,223205.30715206527
31506,246681.44353128277
31507,67910.43650503417
31508,385194.71768145415
31509,179906.5036770692
31510,143436.89884374864
31511,77768.44171843748
31512,62098.37598198917
31513,54814.319203085804
31514,86889.70641306581
31515,106804.1699080395
31516,141283.7013269855
31517,207174.2861444467
31518,210074.40577983396
31519,100323.94240970715
31520,101533.4809840179
31521,159690.06178697073
31522,132901.47475328352
31523,62963.22652595212
31524,124943.78064131767
31525,91328.71809326849
31526,68328.78784493456
31527,67455.50495031985
31528,134504.8363085392
31529,80026.65718071017
31530,48162.89741724495
31531,101319.67740700717
31532,91144.29719464008
31533,109520.69256867736
31534,83350.80733479824
31535,96500.92207976355
31536,127501.5010718241
31537,180623.53367757148
31538,164279.1522456718
31539,149908.9095035483
31540,115034.00467744708
31541,117783.64259127411
31542,82346.6289780433
31543,81174.78966650569
31544,64113.85939174217
31545,67970.22702220985
31546,101745.70175652078
31547,86366.06067746412
31548,65099.67692399818
31549,44252.74177973601
31550,59568.515337628225
31551,84033.35670513782
31552,149249.5580592401
31553,130542.54771150151
31554,90347.4729717834
31555,61298.65972006351
31556,69275.18561888933
31557,81866.05069327963
31558,61417.23314282633
31559,108834.16359487084
31560,258848.4220528808
31561,57123.89043600614
31562,147486.96756118158
31563,68482.14781386938
31564,98894.07893859115
31565,144947.23467589187
31566,103779.20001181087
31567,93472.03413071315
31568,65572.93161139463
31569,85760.40425436874
31570,112487.41840555027
31571,86885.37550329194
31572,95436.62730282883
31573,141316.73306563176
31574,71661.80668129554
31575,147609.94658102648
31576,117491.77973195599
31577,119195.63731770325
31578,123454.17204300908
31579,396524.5570582503
31580,174321.58287058896
31581,73393.21636884124
31582,177308.66468132433
31583,94324.96520387742
31584,226268.9386829588
31585,81578.29591514476
31586,86125.08779284162
31587,81295.04352581088
31588,110338.2310237656
31589,140007.6703726746
31590,91967.51242542584
31591,80171.4670046076
31592,96215.61552694309
31593,112455.43220993315
31594,259981.7066039896
31595,184752.5392916714
31596,117022.5347268938
31597,93787.38766158778
31598,62248.07893537807
31599,105431.81190007683
31600,165544.8671332905
31601,93825.77516750398
31602,246687.5975368519
31603,113835.89352174444
31604,126082.76987634477
31605,85378.82002144156
31606,120301.88953226528
31607,118275.36804955122
31608,133932.31309924353
31609,55300.494987665676
31610,72755.28674304049
31611,89728.87375746295
31612,67255.46043528063
31613,72214.03872712873
31614,167515.5435374768
31615,104778.92651298919
31616,101703.14366261647
31617,83322.14034192057
31618,143561.16505876853
31619,169576.10157596754
31620,101994.92674569594
31621,105192.35116055142
31622,92542.55051559293
31623,110963.20042377076
31624,79626.07934835623
31625,102496.28886639746
31626,95734.93650382696
31627,98328.76071483003
31628,100068.47586573742
31629,190786.51532926777
31630,116122.56919558858
31631,96598.06918469603
31632,102531.460085422
31633,75353.92117832982
31634,140018.0259995719
31635,78655.22629774366
31636,138357.08272056206
31637,114183.7101831808
31638,82096.03626408085
31639,59762.62496749497
31640,263931.5221407035
31641,107169.56650245757
31642,74245.93263801675
31643,157621.47991076144
31644,53691.55705185299
31645,139370.6853015892
31646,95984.99242153768
31647,82538.16264550382
31648,70473.40949588639
31649,64221.42588197805
31650,54916.10644638827
31651,91373.09398817035
31652,113707.62863067482
31653,72161.01168067337
31654,186953.93525053782
31655,91314.76274205963
31656,122402.57424243644
31657,112470.85415644452
31658,60310.746278479266
31659,70589.14846819811
31660,127048.62175630593
31661,111310.0914374397
31662,187319.67136011558
31663,70144.83991632325
31664,79327.95180823893
31665,102433.92393686925
31666,99872.92605640588
31667,58815.736818248275
31668,152110.4415621718
31669,478649.3204254987
31670,102712.90906672706
31671,72769.24870435905
31672,110397.76474679016
31673,92545.64396807227
31674,143347.5603818075
31675,97698.69017510585
