0,1
世田谷区三宿,686000.0
世田谷区三軒茶屋,1187250.0
世田谷区上北沢,602666.6666666666
世田谷区上用賀,607666.6666666666
世田谷区上祖師谷,442750.0
世田谷区上野毛,671333.3333333334
世田谷区上馬,639000.0
世田谷区下馬,693400.0
世田谷区世田谷,653400.0
世田谷区中町,658500.0
世田谷区代沢,742333.3333333334
世田谷区代田,699500.0
世田谷区八幡山,487500.0
世田谷区北沢,1302333.3333333333
世田谷区北烏山,407000.0
世田谷区千歳台,433500.0
世田谷区南烏山,743400.0
世田谷区喜多見,389400.0
世田谷区大原,685000.0
世田谷区大蔵,348000.0
世田谷区太子堂,1251333.3333333333
世田谷区奥沢,821285.7142857143
世田谷区宇奈根,289000.0
世田谷区宮坂,624000.0
世田谷区尾山台,676500.0
世田谷区岡本,494666.6666666667
世田谷区弦巻,660000.0
世田谷区成城,735333.3333333334
世田谷区新町,661500.0
世田谷区東玉川,627000.0
世田谷区松原,686571.4285714285
世田谷区桜,610500.0
世田谷区桜上水,622666.6666666666
世田谷区桜丘,605500.0
世田谷区桜新町,829000.0
世田谷区梅丘,695000.0
世田谷区池尻,872000.0
世田谷区深沢,662833.3333333334
世田谷区瀬田,671200.0
世田谷区玉川,1185600.0
世田谷区玉川台,680000.0
世田谷区玉川田園調布,702000.0
世田谷区用賀,735600.0
世田谷区砧,543333.3333333334
世田谷区祖師谷,543600.0
世田谷区等々力,799000.0
世田谷区粕谷,491333.3333333333
世田谷区経堂,687000.0
世田谷区給田,392666.6666666667
世田谷区羽根木,592000.0
世田谷区船橋,511666.6666666667
世田谷区若林,633666.6666666666
世田谷区豪徳寺,734000.0
世田谷区赤堤,680833.3333333334
世田谷区野毛,535000.0
世田谷区野沢,698666.6666666666
世田谷区鎌田,327000.0
世田谷区駒沢,798000.0
